year_month_day,count
2010-01-01,108
2010-02-01,187
2010-03-01,489
2010-04-01,149
2010-05-01,203
2010-06-01,133
2010-07-01,146
2010-08-01,350
2010-09-01,187
2010-10-01,301
2010-11-01,89
2010-12-01,189
2011-01-01,135
2011-02-01,241
2011-03-01,172
2011-04-01,181
2011-05-01,309
2011-06-01,192
2011-07-01,145
2011-08-01,497
2011-09-01,360
2011-10-01,163
2011-11-01,128
2011-12-01,118
2012-01-01,100
2012-02-01,48
2012-03-01,89
2012-04-01,112
2012-05-01,402
2012-06-01,281
2012-07-01,157
2012-08-01,255
2012-09-01,194
2012-10-01,252
2012-11-01,76
2012-12-01,237
2013-01-01,104
2013-02-01,122
2013-03-01,83
2013-04-01,86
2013-05-01,355
2013-06-01,347
2013-07-01,125
2013-08-01,155
2013-09-01,73
2013-10-01,36
2013-11-01,57
2013-12-01,121
2014-01-01,101
2014-02-01,418
2014-03-01,123
2014-04-01,287
2014-05-01,320
2014-06-01,221
2014-07-01,191
2014-08-01,69
2014-09-01,48
2014-10-01,101
2014-11-01,232
2014-12-01,387
2015-01-01,189
2015-02-01,204
2015-03-01,191
2015-04-01,87
2015-05-01,112
2015-06-01,190
2015-07-01,184
2015-08-01,88
2015-09-01,158
2015-10-01,192
2015-11-01,88
2015-12-01,156
2016-01-01,146
2016-02-01,490
2016-03-01,90
2016-04-01,93
2016-05-01,246
2016-06-01,124
2016-07-01,238
2016-08-01,117
2016-09-01,86
2016-10-01,167
2016-11-01,335
2016-12-01,130
2017-01-01,200
2017-02-01,64
2017-03-01,216
2017-04-01,351
2017-05-01,524
2017-06-01,278
2017-07-01,224
2017-08-01,209
2017-09-01,81
2017-10-01,205
2017-11-01,95
2017-12-01,85
2018-01-01,157
2018-02-01,290
2018-03-01,403
2018-04-01,352
2018-05-01,295
2018-06-01,262
2018-07-01,318
2018-08-01,401
2018-09-01,361
2018-10-01,252
2018-11-01,710
2018-12-01,337
2019-01-01,300
2019-02-01,143
2019-03-01,172
2019-04-01,315
2019-05-01,451
2019-06-01,435
2019-07-01,2
2019-08-01,213
2019-09-01,132
2019-10-01,268
2019-11-01,99
2019-12-01,437
2020-01-01,132
2020-02-01,211
2020-03-01,122
2020-04-01,73
2020-05-01,70
2020-06-01,163
2020-07-01,386
2020-08-01,206
2020-09-01,139
2020-10-01,191
2020-11-01,281
2020-12-01,168
