physicalid,full_stree,ntaname,boro_name,count,count_per_100ft,with_nta_name
6110,28 AVE,,,0.0,0.0,
61140,ARLINGTON AVE,,,0.0,0.0,
145494,SCHERMERHORN ST,,,0.0,0.0,
12438,QUEENS BLVD,,,0.0,0.0,
15432,ARTHUR KIL RD,,,0.0,0.0,
52620,E  181 ST,,,0.0,0.0,
83272,58 LN,,,0.0,0.0,
26405,FOREST AVE,,,0.0,0.0,
95944,TIDES LN,,,0.0,0.0,
94775,CYPRESS CREST LN,,,0.0,0.0,
47311,WALWORTH ST,Bedford,Brooklyn,1.0,0.05604354827446185,"WALWORTH ST, Bedford, Brooklyn"
42619,58 ST,,,0.0,0.0,
61335,HERSCHELL ST,,,0.0,0.0,
94303,PRESIDENT ST,,,0.0,0.0,
35332,FULTON AVE,,,0.0,0.0,
43450,I AVE,,,0.0,0.0,
103751,178 ST,,,0.0,0.0,
183608,BENNETT AVE,,,0.0,0.0,
96186,SILVER CT,,,0.0,0.0,
39179,AVE W,,,0.0,0.0,
9677,NORTHERN BL  E,,,0.0,0.0,
46804,AVE N,,,0.0,0.0,
14013,69 AVE,,,0.0,0.0,
54216,TOMPKINS AVE,,,0.0,0.0,
70669,PITKIN AVE,East New York,Brooklyn,4.0,0.5957628260855661,"PITKIN AVE, East New York, Brooklyn"
93463,105 ST,South Ozone Park,Queens,1.0,0.05884601495919185,"105 ST, South Ozone Park, Queens"
48348,BRAGG ST,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,1.0,0.05786022446942514,"BRAGG ST, Sheepshead Bay-Gerritsen Beach-Manhattan Beach, Brooklyn"
42052,ALLERTON AVE,,,0.0,0.0,
42533,CROPSEY AVE,,,0.0,0.0,
37037,56 ST,,,0.0,0.0,
54462,EASTCHESTR RD,,,0.0,0.0,
99733,BEACON PL,,,0.0,0.0,
62180,WILLIS AVE,Mott Haven-Port Morris,Bronx,1.0,0.1491811851936699,"WILLIS AVE, Mott Haven-Port Morris, Bronx"
47741,KINGSHIGWY,,,0.0,0.0,
98286,ALBRIGHT ST,,,0.0,0.0,
72950,E  96 ST,,,0.0,0.0,
34919,MANOR RD,,,0.0,0.0,
96460,49 AVE,,,0.0,0.0,
31044,UTOPIA PKWY,,,0.0,0.0,
35893,E  150 ST,,,0.0,0.0,
34113,126 ST,,,0.0,0.0,
92035,B 66 ST,Hammels-Arverne-Edgemere,Queens,1.0,0.08692128604717515,"B 66 ST, Hammels-Arverne-Edgemere, Queens"
33679,65 RD,,,0.0,0.0,
18531,222 ST,,,0.0,0.0,
50660,GLEASON AVE,,,0.0,0.0,
48721,P AVE,,,0.0,0.0,
11696,HUNTER'S POINT AVE,,,0.0,0.0,
71023,81 ST,,,0.0,0.0,
75330,TIMPSON PL,,,0.0,0.0,
32650,74 ST,,,0.0,0.0,
151330,E  171 ST,,,0.0,0.0,
488,STONE ST,,,0.0,0.0,
85847,VAN CORTLANDT AVE,,,0.0,0.0,
63095,SUNSET HILL DR,,,0.0,0.0,
184097,WELL HOUSE DR,,,0.0,0.0,
82753,LITHONIA AVE,,,0.0,0.0,
79723,GOLD ST,,,0.0,0.0,
181749,HARMONY LN,,,0.0,0.0,
61071,E  167 ST,,,0.0,0.0,
50899,WHITTIER ST,,,0.0,0.0,
72039,AVE J,,,0.0,0.0,
89083,METROPOLITAN AVE,,,0.0,0.0,
151836,POPHAM AVE,,,0.0,0.0,
26398,33 ST,,,0.0,0.0,
73335,CROSS BAY BLVD,,,0.0,0.0,
105679,MILL RIVER RD,,,0.0,0.0,
56796,THORNY CROFT AVE,Great Kills,Staten Island,1.0,0.1802336401511783,"THORNY CROFT AVE, Great Kills, Staten Island"
21512,NEWTOWN RD,,,0.0,0.0,
75518,WILLIAMS AVE,,,0.0,0.0,
82534,148 ST,,,0.0,0.0,
31722,58 AVE,,,0.0,0.0,
59086,PLATT ST,,,0.0,0.0,
7962,50 AVE,,,0.0,0.0,
50539,TAYLOR AVE,,,0.0,0.0,
13840,108 ST,,,0.0,0.0,
84583,OAK AVE,,,0.0,0.0,
72929,WOODBINE ST,,,0.0,0.0,
35367,JEROME AVE,,,0.0,0.0,
179568,E  109 ST,,,0.0,0.0,
9063,31 AVE,,,0.0,0.0,
3904,AMSTERDAM AVE,,,0.0,0.0,
97577,156 ST,,,0.0,0.0,
82121,33 ST,,,0.0,0.0,
1121,EIGHTH AVE,,,0.0,0.0,
21835,E  61 ST,,,0.0,0.0,
56201,GLOVER ST,,,0.0,0.0,
70713,MILL AVE,,,0.0,0.0,
172130,LINDEN BLVD,,,0.0,0.0,
20935,EASTERN RD,,,0.0,0.0,
97998,RYER AVE,,,0.0,0.0,
63908,N  RAILROAD AVE,,,0.0,0.0,
69322,EDINBORO RD,,,0.0,0.0,
104354,UNNAMED ST,,,0.0,0.0,
5315,107 AVE,,,0.0,0.0,
70440,SCOTT AVE,,,0.0,0.0,
474,GREENWICH ST,,,0.0,0.0,
8329,11 ST,,,0.0,0.0,
57466,MATILDA AVE,,,0.0,0.0,
93163,BROAD ST,Rosedale,Queens,5.0,0.3001172885818343,"BROAD ST, Rosedale, Queens"
9888,ELIOT AVE,,,0.0,0.0,
60706,FABER ST,,,0.0,0.0,
31815,JUNIPER VALLEY RD,,,0.0,0.0,
92124,HECKER ST,,,0.0,0.0,
94542,36 ST,,,0.0,0.0,
51260,46 ST,,,0.0,0.0,
101951,ADRIENNE LN,,,0.0,0.0,
68815,BEVERLEY RD,,,0.0,0.0,
16263,BAY 024 ST,,,0.0,0.0,
27552,WEST DR,,,0.0,0.0,
58662,BALCOM AVE,,,0.0,0.0,
14701,BCH CHANNEL DR,,,0.0,0.0,
84065,95 ST,Lindenwood-Howard Beach,Queens,14.0,1.0002465133769047,"95 ST, Lindenwood-Howard Beach, Queens"
11415,QUEENS PLZ N,,,0.0,0.0,
166780,SEDGWICK AVE,,,0.0,0.0,
74165,NEW LOTS AVE,,,0.0,0.0,
119498,TIEBOUT AVE,,,0.0,0.0,
97962,37 DR,North Corona,Queens,1.0,0.12632393217182247,"37 DR, North Corona, Queens"
34626,105 ST,,,0.0,0.0,
3667,3 AVE,,,0.0,0.0,
68365,TELEPORT DR,,,0.0,0.0,
72676,HARLEM RIV DR,,,0.0,0.0,
165186,KATAN LOOP,,,0.0,0.0,
86090,HENRY PL,,,0.0,0.0,
6552,JAMAICA AVE,,,0.0,0.0,
59155,BUFFALO ST,,,0.0,0.0,
11324,HARDING XW,,,0.0,0.0,
102016,DOE CT,,,0.0,0.0,
64401,E  167 ST,,,0.0,0.0,
31416,BRADDOCK AVE,,,0.0,0.0,
100068,75 ST,,,0.0,0.0,
27326,KINGSBURY AVE,,,0.0,0.0,
138352,ASSEMBLY RD,,,0.0,0.0,
39793,P AVE,Madison,Brooklyn,6.0,0.8562859087853749,"P AVE, Madison, Brooklyn"
81134,E  14 RD,,,0.0,0.0,
35675,CONNECTOR,,,0.0,0.0,
25124,W  104 ST,,,0.0,0.0,
2347,PARK AVE,,,0.0,0.0,
48876,CONSELYEA ST,,,0.0,0.0,
1335,SEVENTH AVE,,,0.0,0.0,
38597,E  12 ST,,,0.0,0.0,
75924,BRONX SHORE RD,,,0.0,0.0,
60152,PROSPECT  W,Park Slope-Gowanus,Brooklyn,1.0,0.21440368813316452,"PROSPECT  W, Park Slope-Gowanus, Brooklyn"
35709,CONNECTOR,,,0.0,0.0,
94278,WEBSTER AVE,,,0.0,0.0,
86662,JEROME AVE,Grasmere-Arrochar-Ft. Wadsworth,Staten Island,2.0,0.09214558344424208,"JEROME AVE, Grasmere-Arrochar-Ft. Wadsworth, Staten Island"
6382,JAMAICA AVE,,,0.0,0.0,
2289,COLUMBUS AVE,,,0.0,0.0,
45417,AVE U,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,1.0,0.14795344290557377,"AVE U, Georgetown-Marine Park-Bergen Beach-Mill Basin, Brooklyn"
47438,MYRTLE AVE,,,0.0,0.0,
165382,61 ST,,,0.0,0.0,
103959,UTICA WALK,,,0.0,0.0,
37321,PELHAM PKWY,,,0.0,0.0,
69683,VARICK AVE,,,0.0,0.0,
45041,TARGEE ST,,,0.0,0.0,
42356,57 ST,,,0.0,0.0,
34452,82 AVE,,,0.0,0.0,
21438,23 ST,,,0.0,0.0,
18523,113 AVE,Queens Village,Queens,1.0,0.46120028748675834,"113 AVE, Queens Village, Queens"
36173,E  TREMONT AVE,Mount Hope,Bronx,1.0,0.08014880622964071,"E  TREMONT AVE, Mount Hope, Bronx"
29934,189 ST,,,0.0,0.0,
91748,248 ST,,,0.0,0.0,
71718,E  222 ST,,,0.0,0.0,
16526,FOURTH AVE,,,0.0,0.0,
43277,ATLANTIC AVE,,,0.0,0.0,
63591,CITY ISLAND RD,,,0.0,0.0,
104737,JULIE CT,,,0.0,0.0,
98132,E  22 ST,,,0.0,0.0,
76771,47 AVE,,,0.0,0.0,
93008,59 RD,,,0.0,0.0,
94158,OVERLOOK AVE,,,0.0,0.0,
17331,LIBERTY AVE,Ozone Park,Queens,1.0,0.14644600902381527,"LIBERTY AVE, Ozone Park, Queens"
50894,WHITTIER ST,,,0.0,0.0,
5829,HILLSIDE AVE,,,0.0,0.0,
42263,BATH AVE,Bath Beach,Brooklyn,5.0,0.6818840354036048,"BATH AVE, Bath Beach, Brooklyn"
72963,DUMONT AVE,,,0.0,0.0,
75716,WEIRFIELD ST,,,0.0,0.0,
79142,E  171 ST,West Concourse,Bronx,2.0,0.2923474212060262,"E  171 ST, West Concourse, Bronx"
5386,PARSONS BLVD,,,0.0,0.0,
90519,60 ST,,,0.0,0.0,
101692,172 ST,,,0.0,0.0,
58534,KEARNEY AVE,Pelham Bay-Country Club-City Island,Bronx,4.0,0.36277348297968004,"KEARNEY AVE, Pelham Bay-Country Club-City Island, Bronx"
4722,S  CONDUIT AVE,,,0.0,0.0,
86717,OAKLAND AVE,,,0.0,0.0,
68703,E  52 ST,,,0.0,0.0,
5652,188 ST,,,0.0,0.0,
81769,217 ST,,,0.0,0.0,
2988,BROADWAY,,,0.0,0.0,
60146,PROSPECT  W,,,0.0,0.0,
73945,GLENMORE AVE,,,0.0,0.0,
21810,CLAREMONT AVE,,,0.0,0.0,
25419,75 AVE,,,0.0,0.0,
55167,EIGHTH AVE,Park Slope-Gowanus,Brooklyn,1.0,0.13552413540334915,"EIGHTH AVE, Park Slope-Gowanus, Brooklyn"
55117,TECH PL,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,1.0,0.1467781915348464,"TECH PL, DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill, Brooklyn"
102565,TUCKERTON ST,,,0.0,0.0,
80231,FERN PL,,,0.0,0.0,
50432,BRONX BLVD,,,0.0,0.0,
7365,ABERDEEN RD,,,0.0,0.0,
18757,VAN WYCK BLVD,,,0.0,0.0,
15355,ARTHUR KIL RD,,,0.0,0.0,
162,WALL ST,Battery Park City-Lower Manhattan,Manhattan,1.0,0.16974474038864107,"WALL ST, Battery Park City-Lower Manhattan, Manhattan"
88249,HOWARD CT,,,0.0,0.0,
69628,CENTRAL AVE,,,0.0,0.0,
68926,NOEL AVE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,1.0,0.26089355182460056,"NOEL AVE, Sheepshead Bay-Gerritsen Beach-Manhattan Beach, Brooklyn"
32600,82 AVE,,,0.0,0.0,
93414,52 AVE,,,0.0,0.0,
29121,160 AVE,,,0.0,0.0,
173111,JAMAICA AVE,,,0.0,0.0,
18083,NY FARMERS BLVD,,,0.0,0.0,
92364,FRAWLEY CIR,,,0.0,0.0,
88894,NORFOLK ST,,,0.0,0.0,
37778,3 AVE,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,1.0,0.14545402263546142,"3 AVE, DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill, Brooklyn"
9683,NORTHERN BL  E,,,0.0,0.0,
167243,WASHINGTON AVE,,,0.0,0.0,
187903,LAFAYETTE PLZ,,,0.0,0.0,
56869,WAIMER PL,,,0.0,0.0,
131408,E  91 ST,,,0.0,0.0,
35053,BROADWAY,,,0.0,0.0,
10082,80 ST,,,0.0,0.0,
7324,53 AVE,,,0.0,0.0,
44364,HERKIMER ST,,,0.0,0.0,
32275,155 ST,,,0.0,0.0,
97571,LOCKE AVE,,,0.0,0.0,
45407,AVE U,,,0.0,0.0,
12455,QUEENS BLVD,,,0.0,0.0,
101877,GARNET ST,,,0.0,0.0,
98576,QUEEN ST,,,0.0,0.0,
123390,E  HOUSTON ST,,,0.0,0.0,
54048,GANNON AVE S,,,0.0,0.0,
3357,LEX AVE,,,0.0,0.0,
74665,VAN SICLEN AVE,,,0.0,0.0,
32540,85 AVE,Bellerose,Queens,1.0,0.1469449104024031,"85 AVE, Bellerose, Queens"
85673,GUION PL,,,0.0,0.0,
67397,OVINGTON AVE,,,0.0,0.0,
73809,ATKINS AVE,,,0.0,0.0,
34072,158 AVE,,,0.0,0.0,
91842,CROMMELIN ST,Flushing,Queens,2.0,0.2054982891185188,"CROMMELIN ST, Flushing, Queens"
95086,CRAFTON AVE,,,0.0,0.0,
20758,144 RD,,,0.0,0.0,
98290,COLGATE AVE,,,0.0,0.0,
60040,RAWLINGS AVE,,,0.0,0.0,
161993,MAGUIRE AVE,,,0.0,0.0,
4377,13 AVE,,,0.0,0.0,
39599,CATON AVE,,,0.0,0.0,
66348,53 AVE,,,0.0,0.0,
102468,126 ST,,,0.0,0.0,
183616,HARRISON AVE,,,0.0,0.0,
45119,VANDERBILT AVE,,,0.0,0.0,
54457,EASTCHESTR RD,,,0.0,0.0,
59505,JOHNSON AVE,,,0.0,0.0,
50205,ROMA AVE,,,0.0,0.0,
54137,BURTON AVE,,,0.0,0.0,
24026,205 ST,Queens Village,Queens,4.0,0.57323758099165,"205 ST, Queens Village, Queens"
14294,B 74 ST,,,0.0,0.0,
146180,36 AVE,,,0.0,0.0,
86024,RUSSEK DR,,,0.0,0.0,
74268,WORTMAN AVE,,,0.0,0.0,
104846,JESSICA LN,,,0.0,0.0,
92182,B 109 ST,,,0.0,0.0,
93071,219 ST,Queens Village,Queens,2.0,0.11435464414410691,"219 ST, Queens Village, Queens"
70961,INWOOD ST,,,0.0,0.0,
53643,WILLOWBROK RD,,,0.0,0.0,
87824,SHAKESPEARE AVE,,,0.0,0.0,
77704,MARKET ST,,,0.0,0.0,
97920,AVON RD,,,0.0,0.0,
30449,BUTLER AVE,,,0.0,0.0,
104268,LOOP RD,,,0.0,0.0,
26455,72 ST,Jackson Heights,Queens,6.0,0.3705151070646349,"72 ST, Jackson Heights, Queens"
38549,E  SEVENTH ST,,,0.0,0.0,
60970,W  BURNSIDE AVE,,,0.0,0.0,
87254,EGBERT AVE,,,0.0,0.0,
69849,SAINT NICHLAS TER,,,0.0,0.0,
14573,WESTBOURNE AVE,,,0.0,0.0,
60888,CLAY AVE,,,0.0,0.0,
17573,HARDING XW,,,0.0,0.0,
34161,14 AVE,,,0.0,0.0,
7595,120 AVE,,,0.0,0.0,
90949,30 PL,,,0.0,0.0,
62713,SHERMAN ST,,,0.0,0.0,
44456,NOSTRAND AVE,,,0.0,0.0,
31540,W  ALLEY RD,,,0.0,0.0,
99278,BLOSSOM AVE,,,0.0,0.0,
78247,QUEENSBORO BR UPPER ROADWAY APPR,,,0.0,0.0,
88145,BASSFORD AVE,,,0.0,0.0,
69221,72 ST,,,0.0,0.0,
43152,ATLANTIC AVE,,,0.0,0.0,
117950,MC GRAW AVE,,,0.0,0.0,
93899,OLD   WOOD POINT RD,,,0.0,0.0,
165224,BOSTON POST RD,,,0.0,0.0,
71682,BAY VIEW AVE,,,0.0,0.0,
100037,172 ST,,,0.0,0.0,
169079,LEITH PL,,,0.0,0.0,
73514,SOUND VIEW AVE,,,0.0,0.0,
97743,66 DR,,,0.0,0.0,
80165,146 ST,Queensboro Hill,Queens,2.0,0.29396640402363733,"146 ST, Queensboro Hill, Queens"
100509,MILFORD DR,,,0.0,0.0,
44922,RICHMD TER,,,0.0,0.0,
36653,53 ST,,,0.0,0.0,
45770,GRAHAM AVE,,,0.0,0.0,
12108,QUEENS BLVD,,,0.0,0.0,
37083,86 ST,,,0.0,0.0,
46937,E  26 ST,,,0.0,0.0,
2484,PARK AVE,,,0.0,0.0,
1072,BLEECKER ST,,,0.0,0.0,
6471,JAMAICA AVE,,,0.0,0.0,
1064,LEROY ST,West Village,Manhattan,1.0,0.2548749729370292,"LEROY ST, West Village, Manhattan"
9840,NORTHERN BL  E,Queensbridge-Ravenswood-Long Island City,Queens,2.0,0.32142048047002164,"NORTHERN BL  E, Queensbridge-Ravenswood-Long Island City, Queens"
94264,GREENPORT ST,,,0.0,0.0,
25085,W  188 ST,,,0.0,0.0,
51098,59 ST,,,0.0,0.0,
47636,KINGSHIGWY,,,0.0,0.0,
44116,POWERS ST,,,0.0,0.0,
77508,DICKINSON AVE,,,0.0,0.0,
74709,FLATLANDS 7 ST,,,0.0,0.0,
15072,CENTER BLVD,,,0.0,0.0,
17403,LABURNUM AVE,East Flushing,Queens,1.0,0.0957543424792184,"LABURNUM AVE, East Flushing, Queens"
188279,WOODHAVEN BLVD,,,0.0,0.0,
176756,W  163 ST,,,0.0,0.0,
17011,95 AVE,Richmond Hill,Queens,4.0,0.6047915007744582,"95 AVE, Richmond Hill, Queens"
13521,67 RD,,,0.0,0.0,
42794,HICKS ST,,,0.0,0.0,
100580,TWELFTH AVE,,,0.0,0.0,
2273,COLUMBUS AVE,,,0.0,0.0,
31730,51 AVE,,,0.0,0.0,
120963,E  TREMONT AVE,,,0.0,0.0,
76621,NONAME,,,0.0,0.0,
16329,B 27 ST,,,0.0,0.0,
89297,KREISCHER ST,,,0.0,0.0,
188463,DYLAN WAY,,,0.0,0.0,
9852,90 ST,,,0.0,0.0,
5853,HILLSIDE AVE,,,0.0,0.0,
66471,SCHNECTADY AVE,East Flatbush-Farragut,Brooklyn,1.0,0.053461919141358144,"SCHNECTADY AVE, East Flatbush-Farragut, Brooklyn"
17451,154 ST,,,0.0,0.0,
49285,W  DRUMGOOLE RD,,,0.0,0.0,
85897,COSTER ST,Hunts Point,Bronx,1.0,0.06409048117802407,"COSTER ST, Hunts Point, Bronx"
38215,WASHINGTON AVE,,,0.0,0.0,
30035,138 AVE,Rosedale,Queens,21.0,3.079691235228947,"138 AVE, Rosedale, Queens"
65553,GEE AVE,,,0.0,0.0,
51873,KINGDOM AVE,,,0.0,0.0,
21505,19 ST,,,0.0,0.0,
31237,34 AVE,,,0.0,0.0,
24985,W  187 ST,,,0.0,0.0,
19359,LENOX AVE,,,0.0,0.0,
24422,SPRINGFIELD BLVD,,,0.0,0.0,
83722,172 ST,,,0.0,0.0,
80947,B 169 ST,,,0.0,0.0,
20203,78 RD,,,0.0,0.0,
5282,129 ST,,,0.0,0.0,
14034,ROCKAWAY BEACH AVE,,,0.0,0.0,
4390,149 AVE,,,0.0,0.0,
87797,ANDREWS AVE S,,,0.0,0.0,
56169,GILDERSLVE AVE,,,0.0,0.0,
30368,WOODSIDE AVE,,,0.0,0.0,
