year_month_day,unique_key
2014-05-04,336
2014-12-14,276
2013-05-12,274
2017-05-07,264
2019-07-28,231
2016-02-14,225
2014-02-16,222
2010-10-03,220
2019-12-15,217
2018-03-04,217
2010-04-04,213
2012-05-27,212
2018-04-22,205
2018-12-02,203
2017-04-09,196
2012-11-04,194
2019-06-23,190
2018-08-12,184
2018-11-25,184
2020-07-12,184
2018-11-18,179
2011-09-11,177
2011-05-22,174
2013-06-09,173
2010-08-08,172
2016-11-20,171
2018-11-11,170
2018-09-30,164
2017-04-02,163
2020-12-06,162
2016-12-04,159
2019-06-02,149
2018-12-23,147
2016-07-31,143
2014-11-23,141
2018-07-29,140
2018-02-11,139
2014-06-15,136
2011-08-14,135
2011-08-21,135
2010-02-28,132
2010-12-05,130
2019-12-22,129
2011-02-06,129
2017-10-29,125
2013-06-16,123
2017-06-25,122
2016-02-21,121
2018-10-28,121
2019-04-28,118
2014-02-09,117
2011-08-28,117
2019-01-27,117
2014-07-20,117
2018-05-20,116
2012-12-30,116
2019-06-16,113
2017-07-09,112
2017-05-28,111
2019-05-19,108
2010-03-14,106
2016-05-08,106
2018-08-19,104
2011-01-23,102
2015-09-13,102
2015-01-18,100
2019-04-21,100
2015-10-04,98
2015-03-08,98
2017-01-29,97
2016-02-28,96
2016-10-23,95
2019-10-27,95
2018-03-11,95
2015-07-19,93
2018-09-23,92
2019-05-12,92
2015-05-31,91
2020-07-26,91
2020-02-16,90
2019-08-25,89
2018-05-27,89
2010-05-09,88
2015-02-22,88
2010-10-17,88
2019-11-03,86
2020-11-01,86
2012-07-01,85
2020-07-05,85
2012-08-19,83
2012-12-23,83
2011-10-02,82
2018-07-22,82
2017-04-30,82
2018-09-16,82
2018-08-05,81
2020-02-09,80
2017-05-14,80
2013-08-18,79
2019-08-11,79
2018-06-03,79
2010-08-22,79
2019-09-08,79
2012-09-09,78
2014-03-30,78
2020-10-18,77
2012-06-10,77
2012-05-06,76
2011-09-04,76
2015-11-01,76
2015-02-08,76
2020-11-15,75
2011-06-19,75
2016-06-05,74
2010-07-18,74
2015-06-07,74
2010-01-31,73
2012-08-12,73
2016-01-10,71
2018-07-01,71
2019-05-05,71
2014-02-23,70
2019-05-26,70
2020-09-13,69
2018-10-14,69
2010-08-29,68
2010-03-21,68
2010-05-02,67
2010-03-28,66
2017-08-06,66
2019-08-04,66
2019-07-21,65
2011-09-25,65
2011-07-31,65
2018-06-10,65
2014-12-07,65
2017-06-18,63
2011-03-06,62
2018-02-25,62
2020-08-09,62
2012-07-22,61
2019-01-06,61
2019-03-24,60
2014-05-18,60
2020-01-05,60
2015-08-02,60
2018-12-30,60
2019-06-09,59
2013-04-14,59
2012-08-05,59
2014-05-11,59
2019-01-20,59
2018-01-14,58
2013-03-03,58
2011-02-27,58
2012-09-23,58
2019-02-24,58
2011-03-13,57
2010-03-07,57
2011-12-11,57
2014-11-30,57
2015-06-21,57
2018-04-29,57
2015-12-27,56
2019-06-30,56
2018-04-08,56
2015-03-15,55
2017-07-30,55
2010-05-23,55
2011-04-17,55
2011-05-01,54
2015-04-26,54
2013-07-07,53
2011-11-27,53
2012-04-29,53
2012-06-24,53
2018-03-25,52
2015-12-20,52
2017-06-04,52
2014-01-12,52
2014-06-08,51
2019-01-13,51
2011-10-30,51
2012-07-29,51
2012-05-13,51
2017-08-20,51
2020-01-26,50
2011-10-23,50
2012-06-03,50
2019-03-10,49
2018-02-18,49
2016-12-18,49
2020-08-23,48
2011-08-07,48
2010-09-19,48
2019-04-14,48
2013-12-29,47
2010-10-10,47
2018-07-15,47
2011-04-24,47
2011-05-08,46
2016-10-30,45
2014-05-25,45
2011-06-12,45
2012-09-30,44
2019-07-14,44
2018-12-09,44
2016-02-07,44
2020-08-30,44
2012-06-17,44
2011-05-29,44
2014-07-06,44
2017-06-11,43
2020-06-07,43
2013-02-17,43
2020-08-16,42
2020-08-02,42
2017-11-05,42
2016-06-12,41
2018-12-16,41
2019-10-13,41
2020-12-27,40
2013-01-20,40
2017-07-02,40
2020-07-19,40
2017-08-13,40
2018-06-24,40
2018-06-17,40
2010-06-13,40
2013-05-26,39
2016-05-15,39
2016-05-29,39
2012-01-15,39
2011-03-27,38
2012-09-02,38
2020-11-29,38
2018-03-18,37
2012-05-20,37
2019-10-20,37
2013-09-15,37
2016-01-31,37
2019-12-08,37
2014-10-26,37
2012-01-29,37
2020-09-06,36
2017-01-08,36
2012-03-04,36
2018-01-21,36
2013-12-15,35
2020-03-08,35
2018-05-13,35
2017-05-21,35
2018-08-26,35
2011-06-26,35
2017-01-22,35
2016-04-10,35
2011-10-16,35
2019-03-03,34
2017-08-27,34
2016-07-03,34
2015-08-16,34
2013-06-23,34
2017-09-03,34
2013-03-17,34
2014-04-06,34
2014-04-13,34
2013-12-01,33
2011-06-05,33
2018-02-04,33
2016-01-03,33
2019-02-03,33
2015-06-28,32
2010-06-27,32
2018-05-06,32
2015-01-25,32
2011-11-20,32
2011-05-15,32
2019-03-17,32
2019-11-24,32
2019-08-18,32
2017-11-12,31
2020-11-22,31
2017-04-16,31
2015-08-23,31
2016-04-03,31
2016-08-07,31
2016-08-21,31
2011-07-10,31
2020-03-22,31
2020-03-29,30
2018-07-08,30
2018-01-28,30
2015-03-01,30
2015-11-15,30
2019-09-01,30
2012-10-21,29
2010-06-20,29
2011-03-20,29
2016-09-04,29
2011-09-18,29
2013-02-03,29
2015-11-22,29
2010-05-30,29
2018-04-01,28
2017-03-26,28
2014-10-19,28
2013-08-04,28
2019-10-06,28
2012-10-07,28
2014-12-28,28
2015-01-04,28
2010-07-25,28
2010-05-16,28
2010-12-12,28
2010-11-21,28
2013-07-14,27
2019-04-07,27
2012-04-22,27
2010-08-01,27
2015-10-11,27
2016-07-17,27
2019-02-10,27
2015-01-11,27
2010-04-11,26
2014-04-20,26
2020-12-20,26
2016-09-25,26
2016-08-14,26
2010-09-26,26
2016-07-10,26
2017-01-15,26
2011-12-04,25
2019-02-17,25
2011-07-03,25
2018-11-04,25
2017-02-12,24
2017-04-23,24
2016-03-06,24
2016-04-17,24
2016-07-24,24
2013-08-11,24
2012-01-01,24
2014-01-05,24
2017-07-16,24
2021-01-03,24
2011-07-17,24
2010-06-06,24
2010-09-05,24
2020-04-19,24
2010-11-07,24
2013-06-02,24
2019-12-01,23
2014-08-17,23
2018-10-21,23
2013-08-25,23
2020-12-13,23
2020-01-12,23
2018-04-15,23
2010-02-21,23
2017-03-19,23
2017-12-10,23
2020-10-04,23
2014-10-05,23
2010-02-14,22
2012-03-11,22
2013-07-28,22
2010-04-25,22
2015-07-05,22
2020-06-14,22
2014-01-19,22
2020-02-02,22
2020-03-15,22
2017-11-26,22
2019-07-07,22
2018-10-07,22
2018-09-09,22
2020-06-28,22
2016-01-17,22
2016-03-20,22
2011-12-25,21
2012-11-11,21
2020-01-19,21
2017-12-31,21
2016-12-11,21
2012-12-16,21
2016-12-25,21
2017-09-10,21
2017-07-23,21
2020-03-01,20
2011-01-30,20
2012-07-08,20
2010-08-15,20
2019-09-22,20
2020-04-26,20
2012-04-08,20
2019-03-31,20
2016-05-22,20
2013-12-08,20
2016-10-02,20
2016-06-19,20
2014-06-01,19
2013-03-10,19
2017-11-19,19
2020-10-25,19
2011-11-06,19
2017-12-24,19
2020-06-21,19
2013-01-13,18
2011-04-10,18
2012-03-25,18
2015-04-05,18
2012-10-28,18
2017-12-03,18
2017-12-17,18
2016-11-06,18
2016-09-18,18
2010-12-19,18
2013-10-13,18
2020-02-23,18
2020-05-03,18
2014-09-14,18
2013-05-19,17
2016-08-28,17
2010-10-31,17
2010-11-14,17
2015-06-14,17
2017-01-01,17
2017-02-19,17
2013-03-24,17
2014-11-09,17
2013-02-10,17
2017-10-01,17
2019-09-29,17
2019-09-15,17
2011-02-13,17
2020-05-10,17
2014-06-22,16
2014-08-10,16
2015-11-08,16
2014-07-13,16
2016-03-13,16
2013-01-06,16
2010-11-28,16
2016-04-24,16
2018-01-07,16
2011-07-24,16
2020-05-31,16
2020-09-20,16
2017-09-17,16
2017-09-24,16
2011-04-03,16
2017-10-22,16
2011-02-20,16
2020-11-08,16
2012-04-01,16
2018-09-02,16
2012-07-15,16
2014-08-31,16
2019-11-17,16
2019-11-10,15
2014-04-27,15
2017-03-12,15
2010-10-24,15
2015-12-06,15
2013-06-30,15
2013-09-08,15
2017-10-08,15
2017-10-15,15
2012-02-26,15
2012-12-02,15
2010-04-18,15
2013-07-21,15
2012-09-16,14
2011-10-09,14
2020-05-24,14
2015-07-12,14
2016-10-09,14
2015-02-15,14
2010-07-11,14
2014-08-03,14
2020-04-12,14
2015-10-18,14
2017-02-26,13
2017-02-05,13
2015-03-22,13
2015-03-29,13
2014-11-16,13
2010-07-04,13
2013-11-03,13
2010-01-24,13
2014-03-23,13
2010-09-12,13
2012-01-22,13
2011-12-18,13
2020-05-17,13
2010-12-26,12
2012-10-14,12
2014-07-27,12
2016-01-24,12
2015-08-09,12
2015-09-27,12
2016-06-26,12
2016-03-27,11
2016-05-01,11
2013-09-22,11
2014-12-21,11
2010-01-10,11
2015-04-12,11
2012-12-09,10
2014-11-02,10
2010-02-07,10
2014-09-21,10
2014-10-12,10
2015-07-26,10
2019-12-29,10
2014-06-29,10
2015-05-17,10
2013-09-01,10
2012-08-26,10
2014-09-07,10
2012-04-15,10
2020-04-05,9
2013-12-22,9
2015-09-20,9
2015-02-01,9
2015-10-25,9
2012-02-19,9
2013-09-29,9
2015-11-29,9
2012-01-08,9
2012-03-18,9
2013-01-27,9
2014-03-02,9
2013-04-21,9
2014-03-09,8
2015-05-03,8
2013-03-31,8
2020-10-11,8
2013-04-07,8
2014-01-26,8
2013-04-28,8
2010-01-17,8
2011-11-13,8
2016-11-13,8
2012-02-12,8
2013-10-20,7
2013-11-24,7
2014-08-24,7
2017-03-05,7
2016-11-27,7
2011-01-02,7
2014-09-28,7
2012-11-18,7
2016-09-11,7
2013-11-17,7
2012-02-05,7
2020-09-27,7
2014-02-02,6
2012-11-25,6
2013-02-24,6
2015-05-10,6
2015-09-06,6
2015-12-13,6
2016-10-16,6
2014-03-16,5
2013-05-05,5
2011-01-09,5
2015-04-19,5
2015-08-30,5
2013-11-10,5
2011-01-16,5
2015-05-24,4
2013-10-06,3
2010-01-03,3
2013-10-27,0
